x,y,id
-37.818288758293299,144.96517139562968,0
-37.818304939874601,144.9651783886485,1
-37.818537275418393,144.96528508213544,2
-37.818627472751174,144.96532654074696,3
-37.818671023179846,144.96534662070096,4
-37.818802273783696,144.96541095647399,5
-37.81885191727693,144.96543413333632,6
-37.818902859292116,144.96545780969998,7
-37.818948207674275,144.96547649105023,8
-37.819043499208576,144.9655157518558,9
-37.819063876014646,144.96550226531954,10
-37.820081018251301,144.96498777893586,11
-37.820085812793906,144.96496230436736,12
-37.820101594829985,144.96489157497712,13
-37.820163424452353,144.96463603008988,14
-37.820271401547295,144.96416080451175,15
-37.820341721505521,144.96410236285459,16
-37.820361698766376,144.96403203306545,17
-37.820401853060709,144.96388118365974,18
-37.820323142652924,144.96385131347941,19
-37.820404549990926,144.96349297121566,20
-37.820436213949392,144.96335331064006,21
-37.820488354600229,144.96312034321352,22
-37.82058814101822,144.96268108173211,23
-37.820660258929927,144.96236369857857,24
-37.820822474288107,144.96167638473003,25
-37.820841252913311,144.96168287824753,26
-37.820944335579348,144.96171824294262,27
-37.821030337687347,144.96190955195715,28
-37.819285923269106,144.9650150517092,29
-37.819260552147803,144.96500695978744,30
-37.818279468867004,144.96422593948694,31
-37.818258592629405,144.96421564975927,32
-37.816429174966196,144.9654271403175,33
-37.81640919770534,144.96543173572988,34
-37.818565743015114,144.96009646198092,35
-37.818587418343149,144.96010655190807,36
-37.814557405509973,144.96255550709441,37
-37.814586372538223,144.96256889373041,38
-37.824323589140029,144.9530915550416,39
-37.824187444107267,144.95276288315767,40
-37.824159775600975,144.95270723870803,41
-37.824149986743159,144.95268755835511,42
-37.816292031070397,144.95466798128132,43
-37.816560125911138,144.95477667277365,44
-37.816592988505249,144.95479485462255,45
-37.824316796871329,144.95241662882643,46
-37.809407367546719,144.95228985538549,47
-37.809389987329773,144.95236717819344,48
-37.809342141790005,144.95252422141581,49
-37.809319167940018,144.95261692886513,50
-37.809332253045888,144.952642902935,51
-37.809340543609139,144.95273521078323,52
-37.809377501541732,144.95314460208428,53
-37.809434037189966,144.95333880820658,54
-37.809503058626234,144.95345019700616,55
-37.809619426170741,144.95355519218856,56
-37.809964033920565,144.95357946795383,57
-37.810061423067253,144.9536140334468,58
-37.810114362808534,144.9536624850771,59
-37.810141831542218,144.95373321446732,60
-37.810299152471487,144.95431872994203,61
-37.81036337936515,144.95503581407061,62
-37.810410625587075,144.9555689818045,63
-37.810416618765338,144.95563621468534,64
-37.810412922972077,144.95565439653424,65
-37.810408627860987,144.95567557539118,66
-37.81040323400056,144.95570184916187,67
-37.809771752784791,144.95415279559575,68
-37.809684552041148,144.95387347444455,69
-37.810216846156742,144.95377587188204,70
-37.810699396892801,144.95400114698791,71
-37.810783001729497,144.95405009811955,72
-37.810857317139899,144.95411493339392,73
-37.811003151144163,144.95424230623649,74
-37.81132278731792,144.95460084830077,75
-37.810150022219162,144.95365539215803,76
-37.810287166114961,144.95316498173909,77
-37.821319208879373,144.96278517781209,78
-37.821191354409869,144.9632482155574,79
-37.821084775723193,144.96364771673183,80
-37.821074787092755,144.96368378072884,81
-37.823824557163753,144.95930255454576,82
-37.823648857154495,144.95903572092814,83
