geometry
LINESTRING (144.946711 -37.809775, 144.94677 -37.809839)
LINESTRING (144.946147 -37.809245, 144.946576 -37.809627)
LINESTRING (144.945934 -37.809062, 144.945688 -37.809247)
LINESTRING (144.945688 -37.809247, 144.944756 -37.809958)
LINESTRING (144.946147 -37.809245, 144.945901 -37.80944)
LINESTRING (144.945901 -37.80944, 144.944919 -37.810172)
LINESTRING (144.947006 -37.809682, 144.948415 -37.808836)
LINESTRING (144.948415 -37.808836, 144.948682 -37.808676)
LINESTRING (144.946576 -37.809627, 144.946355 -37.809764)
LINESTRING (144.946355 -37.809764, 144.945184 -37.810491)
LINESTRING (144.945336 -37.810701, 144.94677 -37.809839)
LINESTRING (144.94584 -37.81139, 144.945706 -37.81125)
LINESTRING (144.945706 -37.81125, 144.945697 -37.811235)
LINESTRING (144.945697 -37.811235, 144.945692 -37.811222)
LINESTRING (144.945692 -37.811222, 144.945688 -37.811208)
LINESTRING (144.945688 -37.811208, 144.945676 -37.811152)
LINESTRING (144.945991 -37.811547, 144.945649 -37.811676)
LINESTRING (144.945649 -37.811676, 144.945629 -37.811683)
LINESTRING (144.945629 -37.811683, 144.945613 -37.81169)
LINESTRING (144.945613 -37.81169, 144.945378 -37.811778)
LINESTRING (144.945898 -37.811859, 144.946248 -37.811727)
LINESTRING (144.946248 -37.811727, 144.947333 -37.811309)
LINESTRING (144.947333 -37.811309, 144.947746 -37.811145)
LINESTRING (144.945836 -37.811883, 144.945898 -37.811859)
LINESTRING (144.954656 -37.821998, 144.954632 -37.821943)
LINESTRING (144.954632 -37.821943, 144.954607 -37.821882)
LINESTRING (144.954607 -37.821882, 144.954586 -37.82183)
LINESTRING (144.954288 -37.816788, 144.954278 -37.816771)
LINESTRING (144.954278 -37.816771, 144.954305 -37.816765)
LINESTRING (144.954305 -37.816765, 144.954291 -37.816732)
LINESTRING (144.954291 -37.816732, 144.954277 -37.8167)
LINESTRING (144.956058 -37.823825, 144.956069 -37.823969)
LINESTRING (144.956069 -37.823969, 144.956075 -37.823983)
LINESTRING (144.956075 -37.823983, 144.956273 -37.824422)
LINESTRING (144.956273 -37.824422, 144.956388 -37.824521)
LINESTRING (144.963198 -37.811902, 144.962334 -37.812154)
LINESTRING (144.949469 -37.822776, 144.949994 -37.82269)
LINESTRING (144.949994 -37.82269, 144.950351 -37.82262)
LINESTRING (144.953337 -37.818886, 144.953345 -37.818909)
LINESTRING (144.961254 -37.821677, 144.961274 -37.821615)
LINESTRING (144.961379 -37.82163, 144.961359 -37.8217)
LINESTRING (144.961808 -37.819069, 144.961832 -37.819064)
LINESTRING (144.961832 -37.819064, 144.961818 -37.819034)
LINESTRING (144.961818 -37.819034, 144.961798 -37.81899)
LINESTRING (144.961294 -37.819305, 144.96121 -37.819334)
LINESTRING (144.961184 -37.819165, 144.961196 -37.819213)
LINESTRING (144.961196 -37.819213, 144.9612 -37.819248)
LINESTRING (144.9612 -37.819248, 144.961203 -37.819273)
LINESTRING (144.961203 -37.819273, 144.961207 -37.819304)
LINESTRING (144.961207 -37.819304, 144.96121 -37.819334)
LINESTRING (144.96121 -37.819334, 144.961214 -37.819367)
LINESTRING (144.961214 -37.819367, 144.961214 -37.819372)
LINESTRING (144.961214 -37.819372, 144.961218 -37.819407)
LINESTRING (144.9612 -37.819248, 144.961312 -37.819211)
LINESTRING (144.952239 -37.815344, 144.952271 -37.815332)
LINESTRING (144.952605 -37.816163, 144.952648 -37.816138)
LINESTRING (144.952635 -37.816229, 144.952684 -37.816214)
LINESTRING (144.966278 -37.815325, 144.966311 -37.815317)
LINESTRING (144.96536 -37.815172, 144.965336 -37.815179)
LINESTRING (144.966084 -37.814962, 144.966143 -37.814943)
LINESTRING (144.965626 -37.815218, 144.965638 -37.815249)
LINESTRING (144.9655 -37.813544, 144.965464 -37.813467)
LINESTRING (144.965464 -37.813467, 144.965388 -37.813305)
LINESTRING (144.965388 -37.813305, 144.965082 -37.812643)
LINESTRING (144.965082 -37.812643, 144.965081 -37.81264)
LINESTRING (144.965081 -37.81264, 144.965053 -37.812629)
LINESTRING (144.965053 -37.812629, 144.965049 -37.81262)
LINESTRING (144.965049 -37.81262, 144.965038 -37.812597)
LINESTRING (144.965038 -37.812597, 144.965028 -37.812575)
LINESTRING (144.965724 -37.813478, 144.965692 -37.813407)
LINESTRING (144.965692 -37.813407, 144.965576 -37.813158)
LINESTRING (144.965576 -37.813158, 144.965306 -37.812575)
LINESTRING (144.965306 -37.812575, 144.965337 -37.81255)
LINESTRING (144.965337 -37.81255, 144.965328 -37.812531)
LINESTRING (144.965328 -37.812531, 144.965321 -37.812516)
LINESTRING (144.965321 -37.812516, 144.965313 -37.8125)
LINESTRING (144.967002 -37.810796, 144.96682 -37.810408)
LINESTRING (144.96682 -37.810408, 144.966727 -37.810209)
LINESTRING (144.966727 -37.810209, 144.966602 -37.809951)
LINESTRING (144.964539 -37.811502, 144.964257 -37.811584)
LINESTRING (144.964257 -37.811584, 144.963816 -37.811724)
LINESTRING (144.964808 -37.811442, 144.964804 -37.811432)
LINESTRING (144.964804 -37.811432, 144.964785 -37.811426)
LINESTRING (144.964785 -37.811426, 144.964761 -37.811373)
LINESTRING (144.964761 -37.811373, 144.964652 -37.811136)
LINESTRING (144.964652 -37.811136, 144.964526 -37.810864)
LINESTRING (144.964526 -37.810864, 144.964443 -37.810683)
LINESTRING (144.964443 -37.810683, 144.96441 -37.810611)
LINESTRING (144.96441 -37.810611, 144.96442 -37.81058)
LINESTRING (144.96442 -37.81058, 144.964415 -37.810569)
LINESTRING (144.964643 -37.811729, 144.964335 -37.811818)
LINESTRING (144.964335 -37.811818, 144.963756 -37.811988)
LINESTRING (144.963756 -37.811988, 144.963719 -37.811998)
LINESTRING (144.964894 -37.811626, 144.964875 -37.811586)
LINESTRING (144.964875 -37.811586, 144.964859 -37.81155)
LINESTRING (144.965028 -37.812575, 144.965021 -37.81256)
LINESTRING (144.965021 -37.81256, 144.965034 -37.812536)
LINESTRING (144.965034 -37.812536, 144.964657 -37.81173)
LINESTRING (144.964657 -37.81173, 144.964643 -37.811729)
LINESTRING (144.964643 -37.811729, 144.964635 -37.811712)
LINESTRING (144.96485 -37.811675, 144.964796 -37.81169)
LINESTRING (144.964796 -37.81169, 144.964777 -37.811696)
LINESTRING (144.964777 -37.811696, 144.96476 -37.811701)
LINESTRING (144.96476 -37.811701, 144.9647 -37.811718)
LINESTRING (144.964584 -37.8116, 144.964567 -37.811563)
LINESTRING (144.964567 -37.811563, 144.964546 -37.811517)
LINESTRING (144.964742 -37.811439, 144.964686 -37.811455)
LINESTRING (144.964686 -37.811455, 144.964669 -37.81146)
LINESTRING (144.964669 -37.81146, 144.964651 -37.811465)
LINESTRING (144.964651 -37.811465, 144.964592 -37.811482)
LINESTRING (144.961266 -37.810496, 144.961337 -37.810477)
LINESTRING (144.961337 -37.810477, 144.961394 -37.810463)
LINESTRING (144.961394 -37.810463, 144.961429 -37.810453)
LINESTRING (144.961429 -37.810453, 144.961479 -37.810437)
LINESTRING (144.961479 -37.810437, 144.961538 -37.810419)
LINESTRING (144.961436 -37.810197, 144.962126 -37.809991)
LINESTRING (144.961159 -37.810276, 144.961234 -37.810254)
LINESTRING (144.961234 -37.810254, 144.96129 -37.810238)
LINESTRING (144.96129 -37.810238, 144.961325 -37.810228)
LINESTRING (144.961325 -37.810228, 144.961376 -37.810214)
LINESTRING (144.961376 -37.810214, 144.961436 -37.810197)
LINESTRING (144.956996 -37.810295, 144.956806 -37.80992)
LINESTRING (144.956806 -37.80992, 144.956879 -37.809516)
LINESTRING (144.94862 -37.824103, 144.948553 -37.824077)
LINESTRING (144.948553 -37.824077, 144.948466 -37.824044)
LINESTRING (144.955843 -37.81071, 144.955789 -37.810722)
LINESTRING (144.963463 -37.82463, 144.963532 -37.824575)
LINESTRING (144.963532 -37.824575, 144.963611 -37.824505)
LINESTRING (144.963703 -37.824795, 144.963763 -37.824746)
LINESTRING (144.963763 -37.824746, 144.963846 -37.824675)
LINESTRING (144.963846 -37.824675, 144.96391 -37.824622)
LINESTRING (144.96391 -37.824622, 144.963802 -37.824539)
LINESTRING (144.963802 -37.824539, 144.963682 -37.824445)
LINESTRING (144.963682 -37.824445, 144.963611 -37.824505)
LINESTRING (144.962864 -37.821397, 144.96303 -37.821555)
LINESTRING (144.96303 -37.821555, 144.962947 -37.821607)
LINESTRING (144.966487 -37.815811, 144.966533 -37.815797)
LINESTRING (144.964225 -37.816285, 144.964738 -37.816138)
LINESTRING (144.964738 -37.816138, 144.965254 -37.815991)
LINESTRING (144.965254 -37.815991, 144.965793 -37.815837)
LINESTRING (144.965793 -37.815837, 144.965815 -37.81583)
LINESTRING (144.965815 -37.81583, 144.966307 -37.815689)
LINESTRING (144.966307 -37.815689, 144.966315 -37.81571)
LINESTRING (144.965815 -37.81583, 144.965799 -37.815792)
LINESTRING (144.965799 -37.815792, 144.965826 -37.815743)
LINESTRING (144.965826 -37.815743, 144.965794 -37.815717)
LINESTRING (144.965794 -37.815717, 144.96578 -37.815689)
LINESTRING (144.96578 -37.815689, 144.965791 -37.815684)
LINESTRING (144.965791 -37.815684, 144.965729 -37.815663)
LINESTRING (144.952082 -37.819719, 144.952094 -37.819745)
LINESTRING (144.952094 -37.819745, 144.952115 -37.819784)
LINESTRING (144.954816 -37.820942, 144.95486 -37.82104)
LINESTRING (144.95486 -37.82104, 144.954894 -37.821142)
LINESTRING (144.954894 -37.821142, 144.954905 -37.821169)
LINESTRING (144.954905 -37.821169, 144.954929 -37.821224)
LINESTRING (144.954929 -37.821224, 144.954942 -37.821253)
LINESTRING (144.954253 -37.818929, 144.954231 -37.818877)
LINESTRING (144.954231 -37.818877, 144.954079 -37.818518)
LINESTRING (144.954079 -37.818518, 144.953903 -37.818131)
LINESTRING (144.954052 -37.819236, 144.954118 -37.819219)
LINESTRING (144.954118 -37.819219, 144.954189 -37.819201)
LINESTRING (144.954189 -37.819201, 144.954199 -37.819198)
LINESTRING (144.954199 -37.819198, 144.95423 -37.819189)
LINESTRING (144.95423 -37.819189, 144.954243 -37.819183)
LINESTRING (144.954243 -37.819183, 144.954305 -37.819164)
LINESTRING (144.954305 -37.819164, 144.954356 -37.819146)
LINESTRING (144.954231 -37.818877, 144.954179 -37.818893)
LINESTRING (144.954179 -37.818893, 144.954105 -37.818915)
LINESTRING (144.954105 -37.818915, 144.954063 -37.818927)
LINESTRING (144.954063 -37.818927, 144.953987 -37.818949)
LINESTRING (144.953987 -37.818949, 144.953928 -37.818966)
LINESTRING (144.954356 -37.819146, 144.954337 -37.819093)
LINESTRING (144.954337 -37.819093, 144.954318 -37.819051)
LINESTRING (144.954318 -37.819051, 144.954316 -37.819046)
LINESTRING (144.954316 -37.819046, 144.954305 -37.819022)
LINESTRING (144.954305 -37.819022, 144.954305 -37.819019)
LINESTRING (144.954305 -37.819019, 144.954281 -37.818972)
LINESTRING (144.954281 -37.818972, 144.954253 -37.818929)
LINESTRING (144.953941 -37.819008, 144.953967 -37.81907)
LINESTRING (144.953967 -37.81907, 144.953989 -37.819113)
LINESTRING (144.953989 -37.819113, 144.954001 -37.819142)
LINESTRING (144.954001 -37.819142, 144.954019 -37.819175)
LINESTRING (144.954019 -37.819175, 144.954052 -37.819236)
LINESTRING (144.95648 -37.812284, 144.956559 -37.812261)
LINESTRING (144.956559 -37.812261, 144.956584 -37.812256)
LINESTRING (144.956459 -37.81198, 144.956432 -37.811909)
LINESTRING (144.956771 -37.812603, 144.956818 -37.812717)
LINESTRING (144.956836 -37.812591, 144.956891 -37.812694)
LINESTRING (144.956571 -37.811954, 144.956536 -37.811874)
LINESTRING (144.951364 -37.817937, 144.951415 -37.817915)
LINESTRING (144.951415 -37.817915, 144.951463 -37.817893)
LINESTRING (144.953847 -37.816896, 144.953902 -37.81688)
LINESTRING (144.961608 -37.819888, 144.961619 -37.819867)
LINESTRING (144.961619 -37.819867, 144.961623 -37.819844)
LINESTRING (144.961623 -37.819844, 144.961622 -37.819775)
LINESTRING (144.961622 -37.819775, 144.961603 -37.81934)
LINESTRING (144.951574 -37.821869, 144.9516 -37.821887)
LINESTRING (144.9516 -37.821887, 144.95175 -37.821912)
LINESTRING (144.95175 -37.821912, 144.951844 -37.821928)
LINESTRING (144.951844 -37.821928, 144.951914 -37.821941)
LINESTRING (144.951914 -37.821941, 144.951973 -37.822006)
LINESTRING (144.951973 -37.822006, 144.952029 -37.822072)
LINESTRING (144.951844 -37.82172, 144.951981 -37.821715)
LINESTRING (144.951981 -37.821715, 144.952068 -37.82171)
LINESTRING (144.952068 -37.82171, 144.952087 -37.821718)
LINESTRING (144.952087 -37.821718, 144.952103 -37.82172)
LINESTRING (144.952103 -37.82172, 144.952122 -37.821721)
LINESTRING (144.952122 -37.821721, 144.952151 -37.821718)
LINESTRING (144.952151 -37.821718, 144.952213 -37.821711)
LINESTRING (144.952213 -37.821711, 144.952299 -37.821701)
LINESTRING (144.952299 -37.821701, 144.952444 -37.821684)
LINESTRING (144.952444 -37.821684, 144.952509 -37.821673)
LINESTRING (144.952444 -37.821684, 144.952374 -37.821765)
LINESTRING (144.952374 -37.821765, 144.952326 -37.821816)
LINESTRING (144.952326 -37.821816, 144.952293 -37.821852)
LINESTRING (144.952293 -37.821852, 144.952267 -37.821882)
LINESTRING (144.952267 -37.821882, 144.952244 -37.82191)
LINESTRING (144.952244 -37.82191, 144.952199 -37.821966)
LINESTRING (144.952199 -37.821966, 144.95211 -37.822076)
LINESTRING (144.951815 -37.822235, 144.951819 -37.822217)
LINESTRING (144.951819 -37.822217, 144.951848 -37.822174)
LINESTRING (144.951848 -37.822174, 144.951952 -37.822107)
LINESTRING (144.951952 -37.822107, 144.952029 -37.822072)
LINESTRING (144.952029 -37.822072, 144.95206 -37.822074)
LINESTRING (144.95206 -37.822074, 144.95211 -37.822076)
LINESTRING (144.95211 -37.822076, 144.952166 -37.82207)
LINESTRING (144.952166 -37.82207, 144.952226 -37.822068)
LINESTRING (144.952226 -37.822068, 144.952315 -37.822062)
LINESTRING (144.952315 -37.822062, 144.952379 -37.822056)
LINESTRING (144.952379 -37.822056, 144.953527 -37.821725)
LINESTRING (144.953527 -37.821725, 144.953735 -37.821724)
LINESTRING (144.953735 -37.821724, 144.953776 -37.821687)
LINESTRING (144.953776 -37.821687, 144.953834 -37.82166)
LINESTRING (144.953834 -37.82166, 144.953879 -37.821645)
LINESTRING (144.953879 -37.821645, 144.953886 -37.821643)
LINESTRING (144.953886 -37.821643, 144.953983 -37.821615)
LINESTRING (144.953983 -37.821615, 144.954063 -37.821594)
LINESTRING (144.954063 -37.821594, 144.95412 -37.821576)
LINESTRING (144.95412 -37.821576, 144.954658 -37.8214)
LINESTRING (144.954658 -37.8214, 144.954811 -37.821445)
LINESTRING (144.955168 -37.820904, 144.955131 -37.820833)
LINESTRING (144.960772 -37.818287, 144.960756 -37.81825)
LINESTRING (144.960522 -37.818437, 144.960502 -37.818399)
LINESTRING (144.960502 -37.818399, 144.960489 -37.818368)
LINESTRING (144.960489 -37.818368, 144.96048 -37.818349)
LINESTRING (144.96048 -37.818349, 144.960457 -37.81829)
LINESTRING (144.960519 -37.818283, 144.960522 -37.818228)
LINESTRING (144.960522 -37.818228, 144.960167 -37.817468)
LINESTRING (144.959665 -37.818503, 144.960389 -37.818302)
LINESTRING (144.960389 -37.818302, 144.960414 -37.818297)
LINESTRING (144.960414 -37.818297, 144.960438 -37.818292)
LINESTRING (144.960438 -37.818292, 144.960457 -37.81829)
LINESTRING (144.960457 -37.81829, 144.960494 -37.818281)
LINESTRING (144.960494 -37.818281, 144.960519 -37.818283)
LINESTRING (144.960519 -37.818283, 144.960555 -37.818284)
LINESTRING (144.960555 -37.818284, 144.960643 -37.818279)
LINESTRING (144.960643 -37.818279, 144.960686 -37.818268)
LINESTRING (144.960686 -37.818268, 144.960756 -37.81825)
LINESTRING (144.961228 -37.819832, 144.96128 -37.819813)
LINESTRING (144.96128 -37.819813, 144.961291 -37.819809)
LINESTRING (144.961291 -37.819809, 144.961325 -37.819797)
LINESTRING (144.961325 -37.819797, 144.961346 -37.819789)
LINESTRING (144.961206 -37.819422, 144.961218 -37.819407)
LINESTRING (144.961218 -37.819407, 144.961312 -37.819388)
LINESTRING (144.961312 -37.819388, 144.961394 -37.81939)
LINESTRING (144.961394 -37.81939, 144.961452 -37.819385)
LINESTRING (144.961452 -37.819385, 144.961471 -37.819384)
LINESTRING (144.961471 -37.819384, 144.961511 -37.819381)
LINESTRING (144.961511 -37.819381, 144.961538 -37.819379)
LINESTRING (144.964621 -37.817117, 144.964643 -37.817166)
LINESTRING (144.964356 -37.817251, 144.964334 -37.817204)
LINESTRING (144.96516 -37.818266, 144.96522 -37.818249)
LINESTRING (144.96522 -37.818249, 144.966101 -37.817996)
LINESTRING (144.966101 -37.817996, 144.966358 -37.817922)
LINESTRING (144.966358 -37.817922, 144.96707 -37.817717)
LINESTRING (144.96516 -37.818266, 144.965171 -37.818289)
LINESTRING (144.957341 -37.82026, 144.957362 -37.820314)
LINESTRING (144.957362 -37.820314, 144.957392 -37.820395)
LINESTRING (144.957392 -37.820395, 144.957404 -37.820425)
LINESTRING (144.957404 -37.820425, 144.957426 -37.820483)
LINESTRING (144.957426 -37.820483, 144.957441 -37.820521)
LINESTRING (144.957441 -37.820521, 144.95746 -37.820572)
LINESTRING (144.95746 -37.820572, 144.957489 -37.820563)
LINESTRING (144.957489 -37.820563, 144.957552 -37.820545)
LINESTRING (144.957552 -37.820545, 144.957702 -37.820501)
LINESTRING (144.957702 -37.820501, 144.95778 -37.820478)
LINESTRING (144.957633 -37.820176, 144.957556 -37.820198)
LINESTRING (144.957556 -37.820198, 144.95741 -37.82024)
LINESTRING (144.95741 -37.82024, 144.957341 -37.82026)
LINESTRING (144.962606 -37.819763, 144.9626 -37.819732)
LINESTRING (144.959053 -37.820486, 144.959085 -37.820472)
LINESTRING (144.959085 -37.820472, 144.959758 -37.820203)
LINESTRING (144.959758 -37.820203, 144.959959 -37.820126)
LINESTRING (144.959959 -37.820126, 144.960055 -37.82009)
LINESTRING (144.959959 -37.820126, 144.959922 -37.820044)
LINESTRING (144.959922 -37.820044, 144.959864 -37.81996)
LINESTRING (144.961188 -37.820043, 144.961158 -37.820034)
LINESTRING (144.961158 -37.820034, 144.961121 -37.820029)
LINESTRING (144.961121 -37.820029, 144.961099 -37.82003)
LINESTRING (144.961099 -37.82003, 144.961049 -37.820047)
LINESTRING (144.961049 -37.820047, 144.960813 -37.820146)
LINESTRING (144.960813 -37.820146, 144.960745 -37.820175)
LINESTRING (144.960745 -37.820175, 144.960493 -37.820283)
LINESTRING (144.960813 -37.820146, 144.960639 -37.820177)
LINESTRING (144.960639 -37.820177, 144.960554 -37.820186)
LINESTRING (144.960554 -37.820186, 144.960469 -37.820191)
LINESTRING (144.960469 -37.820191, 144.960408 -37.820194)
LINESTRING (144.960408 -37.820194, 144.960328 -37.820189)
LINESTRING (144.960328 -37.820189, 144.960298 -37.820185)
LINESTRING (144.960298 -37.820185, 144.960254 -37.820177)
LINESTRING (144.960254 -37.820177, 144.960231 -37.820172)
LINESTRING (144.960231 -37.820172, 144.96018 -37.82016)
LINESTRING (144.96018 -37.82016, 144.960055 -37.82009)
LINESTRING (144.966307 -37.815689, 144.966436 -37.81565)
LINESTRING (144.966838 -37.816499, 144.966832 -37.816485)
LINESTRING (144.966832 -37.816485, 144.966837 -37.816459)
LINESTRING (144.966837 -37.816459, 144.966533 -37.815797)
LINESTRING (144.966533 -37.815797, 144.966474 -37.81566)
LINESTRING (144.966474 -37.81566, 144.966436 -37.81565)
LINESTRING (144.966341 -37.81544, 144.966293 -37.815454)
LINESTRING (144.966293 -37.815454, 144.965705 -37.81562)
LINESTRING (144.965705 -37.81562, 144.965159 -37.815795)
LINESTRING (144.965159 -37.815795, 144.964696 -37.81593)
LINESTRING (144.964696 -37.81593, 144.96452 -37.815982)
LINESTRING (144.96452 -37.815982, 144.96414 -37.816093)
LINESTRING (144.966424 -37.815623, 144.966419 -37.815612)
LINESTRING (144.966419 -37.815612, 144.966406 -37.815584)
LINESTRING (144.966406 -37.815584, 144.966389 -37.815545)
LINESTRING (144.966389 -37.815545, 144.966375 -37.815516)
LINESTRING (144.966375 -37.815516, 144.966371 -37.815507)
LINESTRING (144.966371 -37.815507, 144.966359 -37.815479)
LINESTRING (144.966359 -37.815479, 144.966352 -37.815465)
LINESTRING (144.966546 -37.815377, 144.9665 -37.815391)
LINESTRING (144.9665 -37.815391, 144.966484 -37.815396)
LINESTRING (144.966484 -37.815396, 144.966469 -37.8154)
LINESTRING (144.966469 -37.8154, 144.966408 -37.815418)
LINESTRING (144.96659 -37.815365, 144.966362 -37.814864)
LINESTRING (144.966362 -37.814864, 144.966322 -37.814767)
LINESTRING (144.966322 -37.814767, 144.966216 -37.814539)
LINESTRING (144.966216 -37.814539, 144.966227 -37.814514)
LINESTRING (144.966227 -37.814514, 144.966222 -37.814502)
LINESTRING (144.966515 -37.815648, 144.966563 -37.815634)
LINESTRING (144.966563 -37.815634, 144.966567 -37.815632)
LINESTRING (144.966567 -37.815632, 144.966589 -37.815626)
LINESTRING (144.966589 -37.815626, 144.966607 -37.815621)
LINESTRING (144.966607 -37.815621, 144.966612 -37.815619)
LINESTRING (144.966612 -37.815619, 144.966649 -37.815608)
LINESTRING (144.966702 -37.815542, 144.966694 -37.815524)
LINESTRING (144.966694 -37.815524, 144.966667 -37.815465)
LINESTRING (144.966667 -37.815465, 144.966654 -37.815436)
LINESTRING (144.966654 -37.815436, 144.96664 -37.815406)
LINESTRING (144.96664 -37.815406, 144.96663 -37.815382)
LINESTRING (144.948636 -37.80981, 144.949015 -37.810386)
LINESTRING (144.965039 -37.819867, 144.965032 -37.81985)
LINESTRING (144.965032 -37.81985, 144.965023 -37.819827)
LINESTRING (144.954656 -37.821998, 144.954847 -37.821947)
LINESTRING (144.954847 -37.821947, 144.954957 -37.821901)
LINESTRING (144.954273 -37.821921, 144.954292 -37.821916)
LINESTRING (144.954292 -37.821916, 144.954586 -37.82183)
LINESTRING (144.954586 -37.82183, 144.955083 -37.821684)
LINESTRING (144.954957 -37.821901, 144.954996 -37.821882)
LINESTRING (144.954996 -37.821882, 144.955044 -37.821858)
LINESTRING (144.955044 -37.821858, 144.955193 -37.821823)
LINESTRING (144.954526 -37.822035, 144.954656 -37.821998)
LINESTRING (144.946002 -37.811544, 144.945991 -37.811547)
LINESTRING (144.959836 -37.823542, 144.95983 -37.823507)
LINESTRING (144.95983 -37.823507, 144.959812 -37.82347)
LINESTRING (144.959812 -37.82347, 144.959799 -37.823452)
LINESTRING (144.959799 -37.823452, 144.959777 -37.82342)
LINESTRING (144.959777 -37.82342, 144.95976 -37.823388)
LINESTRING (144.95976 -37.823388, 144.959647 -37.823339)
LINESTRING (144.959647 -37.823339, 144.959626 -37.823302)
LINESTRING (144.959626 -37.823302, 144.959607 -37.82328)
LINESTRING (144.959607 -37.82328, 144.959584 -37.823247)
LINESTRING (144.959584 -37.823247, 144.959571 -37.823222)
LINESTRING (144.959571 -37.823222, 144.959633 -37.823164)
LINESTRING (144.964516 -37.822097, 144.964436 -37.822122)
LINESTRING (144.964436 -37.822122, 144.96451 -37.822243)
LINESTRING (144.96451 -37.822243, 144.964705 -37.822167)
LINESTRING (144.964705 -37.822167, 144.964954 -37.82207)
LINESTRING (144.964954 -37.82207, 144.965188 -37.821959)
LINESTRING (144.965188 -37.821959, 144.965472 -37.821828)
LINESTRING (144.965472 -37.821828, 144.965578 -37.821774)
LINESTRING (144.965578 -37.821774, 144.965611 -37.821742)
LINESTRING (144.965611 -37.821742, 144.965684 -37.821715)
LINESTRING (144.965684 -37.821715, 144.965774 -37.821674)
LINESTRING (144.965774 -37.821674, 144.965839 -37.821649)
LINESTRING (144.965839 -37.821649, 144.96586 -37.821606)
LINESTRING (144.96586 -37.821606, 144.965886 -37.821554)
LINESTRING (144.96451 -37.822243, 144.964421 -37.822283)
LINESTRING (144.964421 -37.822283, 144.964284 -37.822317)
LINESTRING (144.964284 -37.822317, 144.964118 -37.822354)
LINESTRING (144.964118 -37.822354, 144.964058 -37.822415)
LINESTRING (144.964058 -37.822415, 144.963997 -37.822428)
LINESTRING (144.963997 -37.822428, 144.963937 -37.822477)
LINESTRING (144.963937 -37.822477, 144.963894 -37.82251)
LINESTRING (144.963894 -37.82251, 144.963825 -37.822548)
LINESTRING (144.963825 -37.822548, 144.963727 -37.822599)
LINESTRING (144.963727 -37.822599, 144.963655 -37.8226)
LINESTRING (144.963655 -37.8226, 144.963591 -37.822581)
LINESTRING (144.963591 -37.822581, 144.963555 -37.822676)
LINESTRING (144.963555 -37.822676, 144.963488 -37.822749)
LINESTRING (144.963488 -37.822749, 144.963316 -37.822899)
LINESTRING (144.963316 -37.822899, 144.963019 -37.823207)
LINESTRING (144.963019 -37.823207, 144.962586 -37.823631)
LINESTRING (144.964058 -37.822415, 144.963985 -37.822341)
LINESTRING (144.963985 -37.822341, 144.963893 -37.822286)
LINESTRING (144.963893 -37.822286, 144.963776 -37.822208)
LINESTRING (144.963776 -37.822208, 144.96365 -37.822121)
LINESTRING (144.96365 -37.822121, 144.963302 -37.821784)
LINESTRING (144.963302 -37.821784, 144.963261 -37.821751)
LINESTRING (144.963261 -37.821751, 144.963201 -37.82169)
LINESTRING (144.963201 -37.82169, 144.963158 -37.821645)
LINESTRING (144.963158 -37.821645, 144.963101 -37.821593)
LINESTRING (144.963101 -37.821593, 144.96303 -37.821555)
LINESTRING (144.953251 -37.811366, 144.953307 -37.811349)
LINESTRING (144.953307 -37.811349, 144.953452 -37.811308)
LINESTRING (144.953452 -37.811308, 144.953521 -37.811286)
LINESTRING (144.955852 -37.823631, 144.955857 -37.823638)
LINESTRING (144.955857 -37.823638, 144.955872 -37.823656)
LINESTRING (144.955872 -37.823656, 144.955909 -37.82368)
LINESTRING (144.955909 -37.82368, 144.955926 -37.823683)
LINESTRING (144.955926 -37.823683, 144.955991 -37.823693)
LINESTRING (144.957423 -37.823111, 144.957378 -37.823049)
LINESTRING (144.957378 -37.823049, 144.95773 -37.82282)
LINESTRING (144.95773 -37.82282, 144.957708 -37.822792)
LINESTRING (144.957708 -37.822792, 144.957281 -37.823012)
LINESTRING (144.957281 -37.823012, 144.957124 -37.823093)
LINESTRING (144.957124 -37.823093, 144.956961 -37.823177)
LINESTRING (144.956961 -37.823177, 144.956886 -37.823215)
LINESTRING (144.956886 -37.823215, 144.956609 -37.823361)
LINESTRING (144.956609 -37.823361, 144.956645 -37.823409)
LINESTRING (144.956664 -37.823434, 144.956702 -37.823487)
LINESTRING (144.958539 -37.822376, 144.958553 -37.822398)
LINESTRING (144.958553 -37.822398, 144.958987 -37.822231)
LINESTRING (144.958987 -37.822231, 144.959026 -37.822285)
LINESTRING (144.956994 -37.823217, 144.957014 -37.823207)
LINESTRING (144.957014 -37.823207, 144.957078 -37.823289)
LINESTRING (144.956994 -37.823217, 144.956968 -37.82323)
LINESTRING (144.956968 -37.82323, 144.95703 -37.823314)
LINESTRING (144.957312 -37.823053, 144.95729 -37.823066)
LINESTRING (144.95729 -37.823066, 144.95735 -37.823148)
LINESTRING (144.963143 -37.820549, 144.963176 -37.820634)
LINESTRING (144.963176 -37.820634, 144.963183 -37.820653)
LINESTRING (144.963183 -37.820653, 144.963196 -37.820686)
LINESTRING (144.961147 -37.821591, 144.961069 -37.821823)
LINESTRING (144.961069 -37.821823, 144.961025 -37.821967)
LINESTRING (144.961025 -37.821967, 144.960994 -37.822074)
LINESTRING (144.960994 -37.822074, 144.960964 -37.822197)
LINESTRING (144.960964 -37.822197, 144.960937 -37.82229)
LINESTRING (144.960937 -37.82229, 144.960916 -37.822377)
