geometry
LINESTRING (144.95759 -37.821453, 144.957588 -37.821506)
LINESTRING (144.957588 -37.821506, 144.957562 -37.821602)
LINESTRING (144.957562 -37.821602, 144.957543 -37.821641)
LINESTRING (144.957543 -37.821641, 144.957507 -37.821672)
LINESTRING (144.957507 -37.821672, 144.957436 -37.82172)
LINESTRING (144.957436 -37.82172, 144.957226 -37.821861)
LINESTRING (144.957226 -37.821861, 144.957203 -37.821877)
LINESTRING (144.957203 -37.821877, 144.957151 -37.821913)
LINESTRING (144.957151 -37.821913, 144.956943 -37.822019)
LINESTRING (144.956943 -37.822019, 144.956683 -37.822142)
LINESTRING (144.956683 -37.822142, 144.956576 -37.822191)
LINESTRING (144.956576 -37.822191, 144.95644 -37.822253)
LINESTRING (144.95644 -37.822253, 144.956408 -37.822259)
LINESTRING (144.956408 -37.822259, 144.956365 -37.822263)
LINESTRING (144.956365 -37.822263, 144.956271 -37.822249)
LINESTRING (144.956271 -37.822249, 144.956058 -37.822166)
LINESTRING (144.956058 -37.822166, 144.955883 -37.822073)
LINESTRING (144.955883 -37.822073, 144.955846 -37.822025)
LINESTRING (144.955846 -37.822025, 144.955827 -37.821973)
LINESTRING (144.955827 -37.821973, 144.95581 -37.82196)
LINESTRING (144.956058 -37.822166, 144.955985 -37.822207)
LINESTRING (144.955985 -37.822207, 144.955926 -37.822251)
LINESTRING (144.955926 -37.822251, 144.955859 -37.822273)
LINESTRING (144.955859 -37.822273, 144.955798 -37.822292)
LINESTRING (144.956271 -37.822249, 144.95624 -37.822284)
LINESTRING (144.95624 -37.822284, 144.956005 -37.822347)
LINESTRING (144.956005 -37.822347, 144.955966 -37.822271)
LINESTRING (144.955966 -37.822271, 144.955926 -37.822251)
LINESTRING (144.958984 -37.820658, 144.958978 -37.820638)
LINESTRING (144.958978 -37.820638, 144.958938 -37.820539)
LINESTRING (144.958938 -37.820539, 144.959053 -37.820486)
LINESTRING (144.959053 -37.820486, 144.95912 -37.820242)
LINESTRING (144.95912 -37.820242, 144.959175 -37.82016)
LINESTRING (144.959175 -37.82016, 144.959864 -37.81996)
LINESTRING (144.959864 -37.81996, 144.959981 -37.819916)
LINESTRING (144.959981 -37.819916, 144.960124 -37.819876)
LINESTRING (144.960124 -37.819876, 144.96029 -37.819831)
LINESTRING (144.954816 -37.820942, 144.954578 -37.820997)
LINESTRING (144.954578 -37.820997, 144.954104 -37.821106)
LINESTRING (144.954104 -37.821106, 144.954056 -37.821045)
LINESTRING (144.956764 -37.822242, 144.956727 -37.822196)
LINESTRING (144.956727 -37.822196, 144.956708 -37.822176)
LINESTRING (144.955593 -37.821878, 144.955612 -37.821874)
LINESTRING (144.955612 -37.821874, 144.955727 -37.821961)
LINESTRING (144.955727 -37.821961, 144.95581 -37.82196)
LINESTRING (144.95581 -37.82196, 144.955972 -37.821794)
LINESTRING (144.955972 -37.821794, 144.956013 -37.821764)
LINESTRING (144.956013 -37.821764, 144.956055 -37.821742)
LINESTRING (144.956055 -37.821742, 144.956139 -37.821717)
LINESTRING (144.956139 -37.821717, 144.956247 -37.821691)
LINESTRING (144.956247 -37.821691, 144.956906 -37.821585)
LINESTRING (144.956906 -37.821585, 144.957038 -37.821554)
LINESTRING (144.957038 -37.821554, 144.957171 -37.821509)
LINESTRING (144.957171 -37.821509, 144.957262 -37.821473)
LINESTRING (144.957262 -37.821473, 144.957315 -37.821444)
